Configuration,Rule Source,Sarif Identifier,Alerts
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/arbitrary-apk-installation,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/backup-enabled,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/cleartext-storage-database,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/cleartext-storage-filesystem,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/cleartext-storage-shared-prefs,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/debuggable-attribute-enabled,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/fragment-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/fragment-injection-preference-activity,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/implicit-pendingintents,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/implicitly-exported-component,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/incomplete-provider-permissions,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/insecure-local-authentication,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/insecure-local-key-gen,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/intent-redirection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/intent-uri-permission-manipulation,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/missing-certificate-pinning,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/sensitive-communication,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/sensitive-keyboard-cache,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/sensitive-notification,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/sensitive-result-receiver,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/sensitive-text,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/unsafe-android-webview-fetch,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/unsafe-content-uri-resolution,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/websettings-allow-content-access,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/websettings-file-access,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/websettings-javascript-enabled,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/webview-addjavascriptinterface,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/webview-debugging-enabled,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/cleartext-storage-in-cookie,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/cleartext-storage-in-properties,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/command-line-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/comparison-with-wider-type,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/concatenated-command-line,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/concatenated-sql-query,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/csrf-unprotected-request-type,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/error-message-exposure,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/exec-tainted-environment,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/groovy-injection,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/http-response-splitting,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/implicit-cast-in-compound-assignment,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/improper-intent-verification,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/improper-validation-of-array-construction,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/improper-validation-of-array-index,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/improper-webview-certificate-validation,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-basic-auth,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-bean-validation,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-cookie,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-ldap-auth,0
/language:java-kotlin,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-randomness,0
